Rank,Tag,Machine Name,Asset Tag,Cash Revenue,Bonus Cash,Token Play,Points,Time Base Play Revenue,Points Cash Value Paid,Coin Play,Time Based Play,EMP Plays,% Payout,Average Play Value,Percent of Total Sale,Facility,ImagePath
45,320,Super Bike 3 (Yellow),320,"$1,516.84 ",$422.17 ,0,,"$2,418.00 ",$0.00 ,"1,024","1,209",4,0,$1.89 ,0.87,Mill Creek,img/SuperBike.jpg
103,90,Twister 1,90,$421.84 ,$116.16 ,0,,$692.00 ,$0.00 ,282,346,1,0,$1.91 ,0.24,Mill Creek,img/Twister.jpg
106,92,Twister 4,92,$304.50 ,$85.50 ,0,,$626.00 ,$0.00 ,209,313,0,0,$1.87 ,0.17,Mill Creek,img/Twister.jpg
107,93,Twister 3,93,$280.50 ,$87.50 ,0,,$578.00 ,$0.00 ,184,289,1,0,$2.00 ,0.16,Mill Creek,img/Twister.jpg
109,91,Twister 2,91,$255.23 ,$69.77 ,0,,$478.00 ,$0.00 ,177,239,2,0,$1.84 ,0.15,Mill Creek,img/Twister.jpg
10,28,Typhoon,28,"$2,808.03 ",$784.07 ,0,,"$4,322.50 ",$0.00 ,"1,183","1,330",3,0,$3.04 ,1.61,Mill Creek,img/Typhoon.jpg
18,89,Jurassic Park,89,"$2,449.35 ",$916.90 ,0,,"$5,255.00 ",$0.00 ,"1,427","2,102",1,0,$2.36 ,1.4,Mill Creek,img/JurassicPark.jpg
26,79,Boxing,79,"$2,014.73 ",$569.02 ,0,,"$4,687.50 ",$0.00 ,"1,878","3,125",105,0,$1.38 ,1.15,Mill Creek,img/Boxing.jpg
62,155,StepmaniaX,155,"$1,120.50 ",$298.50 ,0,,"$1,388.00 ",$0.00 ,746,694,2,0,$1.90 ,0.64,Mill Creek,img/StepMania.jpg
76,69,World's Largest PacMan,69,$899.12 ,$241.88 ,0,,"$2,536.00 ",$0.00 ,596,"1,268",2,0,$1.91 ,0.52,Mill Creek,img/WorldsLargestPacMan.jpg
77,77,Baby Air,77,$898.25 ,$301.75 ,0,,"$1,026.00 ",$0.00 ,843,684,17,0,$1.42 ,0.51,Mill Creek,img/BabyAir.jpg
78,5,Big Buck HD,5,$885.00 ,$168.00 ,0,,"$1,312.50 ",$0.00 ,742,875,9,0,$1.42 ,0.51,Mill Creek,img/BigBuck.jpg
104,43,Let's go Safari,43,$418.60 ,$113.40 ,0,,$225.00 ,$0.00 ,559,225,2,0,$0.95 ,0.24,Mill Creek,img/LetsGoSafari.jpg
112,99,Laser Frenzy,99,$0.00 ,$0.00 ,0,,$0.00 ,$0.00 ,0,0,0,0,$0.00 ,0,Mill Creek,img/LaserFrenzy.jpg
69,61,Bean Bag Toss 2,61,"$1,025.96 ",$258.79 ,0,11840,"$1,182.00 ",$118.40 ,916,788,21,9.22,$1.40 ,0.59,Mill Creek,BeanBagToss.jpg
83,54,Bean Bag Toss 1,54,$856.35 ,$213.15 ,0,8590,"$1,123.50 ",$85.90 ,758,749,18,8.03,$1.41 ,0.49,Mill Creek,BeanBagToss.jpg
16,72,Big Bass Wheel 2,72,"$2,538.02 ",$596.32 ,0,62405,$0.00 ,$624.05 ,"1,959",0,3,19.91,$1.60 ,1.45,Mill Creek,img/BigBassWheel.jpg
17,83,Big Bass Wheel 1,83,"$2,536.76 ",$565.45 ,0,58233,$0.00 ,$582.33 ,"1,915",0,10,18.77,$1.62 ,1.45,Mill Creek,img/BigBassWheel.jpg
42,101,Connect 4 Hoops 2,101,"$1,554.11 ",$324.89 ,0,67420,"$1,474.00 ",$674.20 ,"1,017",737,35,35.88,$1.85 ,0.89,Mill Creek,img/Connect4Hoops.jpg
44,100,Connect 4 Hoops 1,100,"$1,530.84 ",$335.16 ,0,69730,"$1,450.00 ",$697.30 ,"1,015",725,40,37.37,$1.84 ,0.88,Mill Creek,img/Connect4Hoops.jpg
61,70,Crossy Road 1,70,"$1,133.16 ",$290.91 ,0,13337,"$4,221.00 ",$133.37 ,857,"2,412",13,9.37,$1.66 ,0.65,Mill Creek,img/CrossyRoad.jpg
73,73,Crossy Road 2,73,$958.39 ,$249.58 ,0,4346,"$4,074.00 ",$43.46 ,731,"2,328",20,3.6,$1.65 ,0.55,Mill Creek,img/CrossyRoad.jpg
39,58,DC Superheroes (Flash),58,"$1,718.52 ",$339.80 ,0,53229,$0.00 ,$532.29 ,"1,232",0,1,25.86,$1.67 ,0.99,Mill Creek,img/DCSuperHeroes.jpg
66,60,DC Superheroes (Batman),60,"$1,043.56 ",$143.11 ,0,34769,$0.00 ,$347.69 ,749,0,2,29.3,$1.58 ,0.6,Mill Creek,img/DCSuperHeroes.jpg
95,59,DC Superheroes (Superman),59,$596.59 ,$137.35 ,0,16886,$0.00 ,$168.86 ,438,0,1,23.01,$1.68 ,0.34,Mill Creek,img/DCSuperHeroes.jpg
